,gcrq,sjxh,cdh,vehicles,velocity
489,2016/5/22,123,12,0.003047083,0.094188804
490,2016/5/22,123,31,0.003047083,0.094188804
491,2016/5/22,123,32,0.003047083,0.094188804
492,2016/5/22,124,11,0.003047083,0.094188804
493,2016/5/22,124,12,0.003047083,0.094188804
494,2016/5/22,124,31,0.003047083,0.094188804
495,2016/5/22,124,32,0.003047083,0.094188804
496,2016/5/22,125,11,0.003047083,0.094188804
497,2016/5/22,125,12,0.003047083,0.094188804
498,2016/5/22,125,31,0.003047083,0.094188804
499,2016/5/22,125,32,0.003047083,0.094188804
500,2016/5/22,126,11,0,0
501,2016/5/22,126,12,0.004962472,0.103334585
502,2016/5/22,126,31,0.004672897,0.065202927
503,2016/5/22,126,32,0.002660184,0.255083456
504,2016/5/22,127,11,0,0
505,2016/5/22,127,12,0.00437836,0.109474121
506,2016/5/22,127,31,0.005257009,0.055222888
507,2016/5/22,127,32,0.005049939,0.233171456
508,2016/5/22,128,11,0.003047083,0.094188804
509,2016/5/22,128,12,0.003047083,0.094188804
510,2016/5/22,128,31,0.003047083,0.094188804
511,2016/5/22,128,32,0.003047083,0.094188804
512,2016/5/22,129,11,0.003047083,0.094188804
513,2016/5/22,129,12,0.003047083,0.094188804
514,2016/5/22,129,31,0.003047083,0.094188804
515,2016/5/22,129,32,0.003047083,0.094188804
516,2016/5/22,130,11,0.003047083,0.094188804
517,2016/5/22,130,12,0.003047083,0.094188804
518,2016/5/22,130,31,0.003047083,0.094188804
519,2016/5/22,130,32,0.003047083,0.094188804
520,2016/5/22,131,11,0,0
521,2016/5/22,131,12,0.00545006,0.110165807
522,2016/5/22,131,31,0.007124873,0.113515585
523,2016/5/22,131,32,0.006547304,0.109637266
524,2016/5/22,132,11,0.003047083,0.094188804
525,2016/5/22,132,12,0.003047083,0.094188804
526,2016/5/22,132,31,0.003047083,0.094188804
527,2016/5/22,132,32,0.003047083,0.094188804
528,2016/5/22,133,11,0.003047083,0.094188804
529,2016/5/22,133,12,0.003047083,0.094188804
530,2016/5/22,133,31,0.003047083,0.094188804
531,2016/5/22,133,32,0.003047083,0.094188804
532,2016/5/22,134,11,0.003047083,0.094188804
533,2016/5/22,134,12,0.003047083,0.094188804
534,2016/5/22,134,31,0.003047083,0.094188804
535,2016/5/22,134,32,0.003047083,0.094188804
536,2016/5/22,135,11,0.003047083,0.094188804
537,2016/5/22,135,12,0.003047083,0.094188804
538,2016/5/22,135,31,0.003047083,0.094188804
